iter	Passed	Remaining
0	5	5275
1	11	5760
2	17	5797
3	23	5859
4	29	5874
5	34	5778
6	39	5672
7	44	5548
8	50	5521
9	55	5494
10	61	5550
11	67	5526
12	73	5580
13	79	5621
14	85	5602
15	90	5588
16	96	5551
17	101	5530
18	106	5507
19	112	5507
20	117	5478
21	122	5465
22	128	5473
23	134	5471
24	140	5470
25	145	5461
26	151	5449
27	156	5431
28	162	5425
29	167	5401
30	171	5365
31	176	5351
32	181	5332
33	187	5331
34	193	5335
35	198	5320
36	204	5321
37	210	5321
38	215	5302
39	220	5282
40	225	5273
41	230	5259
42	236	5255
43	241	5247
44	246	5230
45	251	5219
46	257	5221
47	262	5211
48	267	5191
49	272	5181
50	278	5177
51	283	5177
52	289	5169
53	294	5164
54	300	5156
55	306	5158
56	311	5159
57	317	5158
58	323	5153
59	328	5144
60	333	5130
61	338	5124
62	344	5119
63	349	5118
64	355	5111
65	360	5102
66	366	5102
67	371	5096
68	377	5095
69	383	5093
70	388	5087
71	394	5083
72	399	5076
73	405	5076
74	411	5074
75	417	5074
76	423	5071
77	428	5069
78	433	5058
79	439	5050
80	444	5045
81	449	5036
82	456	5040
83	461	5030
84	466	5024
85	472	5025
86	478	5026
87	485	5027
88	490	5020
89	496	5025
90	504	5044
91	512	5054
92	519	5065
93	525	5064
94	531	5067
95	538	5066
96	543	5056
97	550	5063
98	557	5070
99	564	5077
100	571	5086
101	578	5094
102	586	5104
103	594	5118
104	601	5127
105	609	5138
106	617	5153
107	625	5166
108	632	5174
109	640	5183
110	647	5187
111	655	5194
112	662	5201
113	670	5208
114	677	5216
115	685	5226
116	692	5227
117	700	5233
118	707	5236
119	714	5241
120	721	5244
121	729	5249
122	737	5256
123	743	5255
124	750	5255
125	758	5258
126	763	5251
127	771	5252
128	778	5257
129	786	5260
130	793	5263
131	800	5264
132	807	5264
133	815	5268
134	822	5266
135	829	5266
136	836	5267
137	842	5265
138	849	5262
139	855	5258
140	862	5255
141	869	5250
142	875	5247
143	882	5243
144	888	5240
145	896	5241
146	903	5240
147	909	5237
148	917	5237
149	923	5233
150	931	5234
151	937	5230
152	944	5227
153	951	5228
154	958	5227
155	965	5225
156	971	5218
157	978	5215
158	985	5214
159	992	5211
160	999	5209
161	1006	5204
162	1013	5201
163	1019	5198
164	1026	5194
165	1033	5190
166	1039	5186
167	1046	5183
168	1053	5182
169	1060	5178
170	1067	5175
171	1074	5172
172	1081	5168
173	1088	5165
174	1095	5163
175	1101	5158
176	1108	5152
177	1114	5148
178	1120	5141
179	1126	5133
180	1132	5125
181	1139	5120
182	1145	5115
183	1152	5112
184	1159	5106
185	1165	5100
186	1172	5095
187	1178	5090
188	1185	5086
189	1192	5081
190	1198	5076
191	1204	5068
192	1210	5060
193	1216	5055
194	1223	5048
195	1229	5043
196	1235	5036
197	1242	5031
198	1249	5030
199	1256	5025
200	1263	5021
201	1269	5016
202	1275	5008
203	1282	5004
204	1288	4998
205	1295	4993
206	1302	4988
207	1308	4981
208	1315	4977
209	1321	4971
210	1328	4966
211	1334	4961
212	1341	4955
213	1347	4949
214	1354	4945
215	1361	4941
216	1367	4933
217	1373	4928
218	1380	4923
219	1387	4918
220	1393	4911
221	1399	4905
222	1407	4902
223	1414	4899
224	1420	4892
225	1426	4885
226	1433	4880
227	1440	4876
228	1446	4871
229	1453	4865
230	1459	4858
231	1466	4854
232	1470	4840
233	1477	4835
234	1484	4831
235	1491	4828
236	1499	4826
237	1505	4820
238	1511	4812
239	1517	4806
240	1524	4801
241	1531	4795
242	1537	4788
243	1544	4784
244	1550	4778
245	1557	4773
246	1563	4767
247	1570	4762
248	1578	4760
249	1585	4755
250	1591	4749
251	1596	4740
252	1603	4734
253	1609	4727
254	1615	4721
255	1622	4716
256	1629	4709
257	1635	4704
258	1641	4695
259	1647	4689
260	1654	4684
261	1661	4679
262	1667	4673
263	1674	4667
264	1680	4659
265	1686	4653
266	1693	4648
267	1699	4643
268	1706	4637
269	1712	4630
270	1719	4624
271	1725	4617
272	1731	4609
273	1737	4604
274	1744	4599
275	1751	4595
276	1758	4589
277	1765	4585
278	1771	4578
279	1778	4573
280	1785	4567
281	1791	4562
282	1798	4555
283	1803	4547
284	1809	4540
285	1816	4534
286	1823	4529
287	1831	4526
288	1837	4520
289	1844	4515
290	1850	4509
291	1857	4502
292	1863	4496
293	1870	4490
294	1876	4483
295	1882	4478
296	1889	4471
297	1895	4466
298	1902	4459
299	1908	4453
300	1915	4447
301	1921	4442
302	1928	4435
303	1934	4428
304	1941	4423
305	1947	4417
306	1954	4411
307	1960	4405
308	1967	4399
309	1974	4394
310	1980	4388
311	1987	4382
312	1993	4375
313	2000	4369
314	2006	4363
315	2012	4356
316	2018	4350
317	2025	4344
318	2032	4339
319	2039	4333
320	2045	4327
321	2052	4320
322	2058	4315
323	2065	4309
324	2071	4301
325	2078	4296
326	2084	4290
327	2091	4284
328	2097	4277
329	2104	4272
330	2111	4268
331	2119	4263
332	2124	4256
333	2131	4250
334	2139	4246
335	2145	4240
336	2152	4234
337	2158	4227
338	2165	4222
339	2171	4215
340	2177	4208
341	2184	4202
342	2190	4196
343	2197	4190
344	2204	4184
345	2210	4178
346	2217	4173
347	2224	4167
348	2230	4161
349	2237	4155
350	2243	4149
351	2250	4143
352	2257	4137
353	2263	4130
354	2269	4123
355	2275	4117
356	2282	4110
357	2288	4104
358	2295	4097
359	2302	4092
360	2308	4086
361	2314	4078
362	2320	4072
363	2327	4067
364	2334	4060
365	2340	4054
366	2347	4049
367	2354	4044
368	2361	4038
369	2367	4031
370	2374	4025
371	2380	4019
372	2387	4013
373	2394	4008
374	2401	4002
375	2408	3996
376	2414	3990
377	2420	3983
378	2427	3977
379	2434	3972
380	2441	3966
381	2447	3959
382	2454	3953
383	2461	3947
384	2467	3941
385	2473	3935
386	2480	3929
387	2487	3924
388	2493	3917
389	2500	3911
390	2507	3905
391	2514	3899
392	2520	3893
393	2527	3887
394	2533	3880
395	2540	3874
396	2546	3868
397	2553	3862
398	2560	3856
399	2566	3849
400	2573	3843
401	2580	3838
402	2586	3832
403	2593	3825
404	2600	3819
405	2606	3813
406	2612	3806
407	2619	3800
408	2626	3794
409	2632	3788
410	2639	3781
411	2645	3775
412	2652	3769
413	2658	3763
414	2665	3757
415	2672	3752
416	2679	3745
417	2685	3739
418	2692	3733
419	2699	3727
420	2706	3721
421	2712	3715
422	2719	3709
423	2725	3703
424	2732	3697
425	2739	3690
426	2745	3684
427	2752	3678
428	2759	3672
429	2765	3666
430	2772	3660
431	2779	3654
432	2785	3647
433	2792	3641
434	2799	3635
435	2806	3630
436	2812	3623
437	2819	3617
438	2825	3610
439	2832	3605
440	2839	3599
441	2846	3593
442	2853	3587
443	2860	3582
444	2867	3576
445	2874	3570
446	2881	3564
447	2887	3557
448	2893	3550
449	2899	3544
450	2907	3538
451	2913	3532
452	2920	3526
453	2926	3519
454	2933	3514
455	2940	3507
456	2946	3501
457	2953	3495
458	2960	3489
459	2967	3483
460	2973	3476
461	2979	3470
462	2986	3463
463	2992	3457
464	2999	3450
465	3005	3444
466	3012	3438
467	3018	3431
468	3025	3425
469	3031	3418
470	3038	3412
471	3045	3406
472	3051	3400
473	3057	3393
474	3064	3387
475	3071	3381
476	3078	3375
477	3085	3369
478	3091	3363
479	3098	3356
480	3105	3350
481	3111	3344
482	3117	3337
483	3124	3331
484	3131	3324
485	3137	3318
486	3144	3312
487	3151	3305
488	3157	3299
489	3164	3293
490	3170	3286
491	3177	3280
492	3184	3274
493	3191	3268
494	3198	3262
495	3204	3256
496	3211	3249
497	3217	3243
498	3223	3236
499	3230	3230
500	3236	3224
501	3243	3217
502	3249	3211
503	3256	3204
504	3261	3197
505	3268	3191
506	3275	3184
507	3281	3178
508	3288	3172
509	3295	3166
510	3302	3160
511	3309	3154
512	3315	3147
513	3322	3141
514	3329	3135
515	3336	3129
516	3342	3122
517	3349	3116
518	3356	3110
519	3362	3104
520	3368	3097
521	3375	3090
522	3381	3084
523	3387	3077
524	3394	3070
525	3401	3064
526	3407	3058
527	3413	3051
528	3420	3045
529	3427	3039
530	3434	3033
531	3441	3027
532	3447	3020
533	3454	3014
534	3462	3009
535	3469	3003
536	3475	2996
537	3482	2990
538	3489	2984
539	3495	2977
540	3501	2970
541	3508	2964
542	3515	2958
543	3521	2951
544	3528	2945
545	3536	2940
546	3542	2933
547	3549	2928
548	3556	2921
549	3564	2916
550	3570	2909
551	3577	2903
552	3584	2897
553	3590	2890
554	3597	2884
555	3604	2878
556	3611	2872
557	3617	2865
558	3623	2858
559	3630	2852
560	3636	2846
561	3643	2839
562	3650	2833
563	3656	2826
564	3663	2820
565	3669	2814
566	3676	2807
567	3682	2801
568	3689	2794
569	3696	2788
570	3702	2781
571	3708	2774
572	3715	2768
573	3721	2762
574	3728	2755
575	3735	2750
576	3742	2743
577	3749	2737
578	3755	2730
579	3762	2724
580	3767	2717
581	3774	2710
582	3780	2704
583	3787	2697
584	3794	2691
585	3801	2685
586	3805	2677
587	3812	2671
588	3818	2664
589	3824	2657
590	3832	2651
591	3838	2645
592	3845	2639
593	3851	2632
594	3858	2626
595	3865	2620
596	3871	2613
597	3878	2607
598	3884	2600
599	3891	2594
600	3897	2587
601	3904	2581
602	3910	2574
603	3916	2568
604	3923	2561
605	3929	2554
606	3935	2547
607	3941	2541
608	3948	2534
609	3952	2527
610	3959	2520
611	3965	2514
612	3971	2507
613	3978	2501
614	3984	2494
615	3991	2488
616	3997	2481
617	4004	2475
618	4010	2468
619	4017	2462
620	4024	2456
621	4031	2449
622	4038	2443
623	4044	2437
624	4050	2430
625	4057	2424
626	4064	2418
627	4071	2411
628	4078	2405
629	4085	2399
630	4092	2392
631	4097	2386
632	4104	2379
633	4108	2371
634	4116	2365
635	4122	2359
636	4129	2353
637	4135	2346
638	4142	2340
639	4148	2333
640	4155	2327
641	4162	2321
642	4169	2314
643	4175	2308
644	4182	2302
645	4190	2296
646	4196	2289
647	4202	2283
648	4209	2276
649	4216	2270
650	4223	2263
651	4229	2257
652	4236	2251
653	4242	2244
654	4249	2238
655	4255	2231
656	4262	2225
657	4269	2218
658	4276	2212
659	4282	2206
660	4290	2200
661	4295	2193
662	4302	2186
663	4309	2180
664	4316	2174
665	4323	2168
666	4330	2161
667	4336	2155
668	4343	2149
669	4350	2142
670	4356	2136
671	4363	2129
672	4369	2123
673	4376	2116
674	4383	2110
675	4390	2104
676	4395	2097
677	4402	2091
678	4409	2084
679	4416	2078
680	4423	2071
681	4429	2065
682	4436	2058
683	4442	2052
684	4449	2046
685	4456	2040
686	4463	2033
687	4469	2026
688	4473	2019
689	4480	2012
690	4487	2006
691	4493	2000
692	4500	1993
693	4506	1987
694	4513	1980
695	4520	1974
696	4526	1967
697	4533	1961
698	4540	1955
699	4545	1948
700	4552	1941
701	4559	1935
702	4565	1928
703	4572	1922
704	4579	1916
705	4585	1909
706	4592	1903
707	4599	1896
708	4605	1890
709	4612	1883
710	4619	1877
711	4625	1871
712	4632	1864
713	4639	1858
714	4645	1851
715	4652	1845
716	4659	1839
717	4666	1832
718	4673	1826
719	4679	1819
720	4685	1813
721	4692	1806
722	4698	1800
723	4704	1793
724	4710	1786
725	4716	1780
726	4724	1773
727	4730	1767
728	4737	1760
729	4743	1754
730	4750	1748
731	4757	1741
732	4764	1735
733	4770	1728
734	4777	1722
735	4783	1715
736	4789	1709
737	4796	1702
738	4803	1696
739	4810	1690
740	4816	1683
741	4823	1677
742	4830	1670
743	4837	1664
744	4843	1657
745	4851	1651
746	4858	1645
747	4865	1639
748	4871	1632
749	4877	1625
750	4883	1619
751	4890	1612
752	4896	1606
753	4903	1599
754	4909	1593
755	4916	1586
756	4923	1580
757	4930	1573
758	4936	1567
759	4943	1561
760	4950	1554
761	4957	1548
762	4963	1541
763	4969	1535
764	4976	1528
765	4980	1521
766	4986	1514
767	4993	1508
768	4999	1501
769	5005	1495
770	5011	1488
771	5018	1482
772	5024	1475
773	5031	1469
774	5038	1462
775	5044	1456
776	5051	1449
777	5057	1443
778	5063	1436
779	5071	1430
780	5077	1423
781	5085	1417
782	5091	1411
783	5097	1404
784	5104	1398
785	5111	1391
786	5117	1385
787	5124	1378
788	5131	1372
789	5137	1365
790	5144	1359
